display_form,count,first_page,sample_context
*se^ghedhlā,1,25,*seg´ʰ-e-tleh₂- (*se^ghedhlā [44:888–9]): Gk. ἐχέτλη f. ‘plow handle’ < PGk. *sekʰetlā; OW edil
*segetlā,1,25,*segetlā
*seg´ʰ-e-tleh₂-,1,25,*seg´ʰ-e-tleh₂- (*se^ghedhlā [44:888–9]): Gk. ἐχέτλη f. ‘plow handle’ < PGk. *sekʰetlā; OW edil
*seg´ʰ-e-tleh₂-).,1,6,"> PBr. *a before *ge, *gi [51:134–41] (see under *seg´ʰ-e-tleh₂-)."
*seh1-,2,3,*seh1- ‘sow’
*seh₁-,3,17,"formation to the root *seh₁- ‘sow’, extended with the collective io-suffix. If correct, the underly-"
*seh₁-li-,1,26,"*seh₁-li- [75:743–4; 207:541], the meaning ‘sow’ must already have been present in Indo-Ana-"
*seh₁-men-,1,26,"*seh₁-men- (*sē-men- ‘Samen’ [44:889–91]; *seh₁mn̥ [19:118]): Lith. sėmenys pl. ‘linseed’,"
*seh₁mn̥,1,26,"*seh₁-men- (*sē-men- ‘Samen’ [44:889–91]; *seh₁mn̥ [19:118]): Lith. sėmenys pl. ‘linseed’,"
*sekʰetlā,1,25,*seg´ʰ-e-tleh₂- (*se^ghedhlā [44:888–9]): Gk. ἐχέτλη f. ‘plow handle’ < PGk. *sekʰetlā; OW edil
*selk-,3,26,"Two formations in the European centum languages derived from the root *selk- ‘draw’, cf."
*serp-,4,17,"*srp-o/eh₂- (*serp- ‘Sichel, krummer Haken’ [44:911–2]; *sŕ̥po/ehₐ- ‘sickle’ [18:8]; *srpo/eh₂-"
*serp-eh₂-.,1,18,"ond, full-grade formation *serp-eh₂-. The change PC *rϕ > rr is unconfirmed, however"
*sers-eh₂-,1,18,"tially cognate with or even borrowed from Lat. serra f. ‘saw’ < *sers-eh₂-, cf. Lat. sar(r)iō ‘hoe,"
*sersā,1,18,"[160:154b; 161:389], and the Old Irish word can alternatively be derived from *sersā, poten-"
*serϕā,1,18,"In addition, OIr. serr f. ‘sickle’ is often derived from PC *serϕā, which would continue a sec-"
*ses(i)o-,1,17,"2]; *ses(i)o- ‘± grain’ [10]): Skt. sasyá- n. ‘corn, grain’ < PIIr. *sas(H)i̯a; YAv. hahiia- adj."
*ses(i)o´s,1,3,*ses(i)o´s ‘± grain’
*ses(i̯)ó-,1,17,"*se-sh₁-io- (*sasi̯o- ‘Feldfrucht’ [44:880]; *ses(i̯)ó- ‘grain, fruit’ [18:236]; *sᵉsyā, *sᵉsyom [19:41–"
*ses-io-,2,17,A reconstruction *ses-io- has been proposed on the basis of Celtic and Indo-Iranian. The
*ses-o-,1,17,and thus presupposes PIIr. *sasa- < PIE *ses-o- [155] or *se-sh₁-o- [156:180]. A formal resem-
*sesi̯o-,1,17,"Corn. hêth, Bret. heiz ‘barley’ < PC *sesi̯o-"
*se¯man-,1,26,‘seed’ < PGm. *se¯man-; Lat. sēmen n. ‘seed’ < PIt. *se¯men-
*se¯men-,1,26,‘seed’ < PGm. *se¯man-; Lat. sēmen n. ‘seed’ < PIt. *se¯men-
*seǵh-e-tleh2-,1,30,*seǵh-e-tleh2-
*seǵʰ-,2,25,"*seǵʰ- ‘hold firmly’ (cf. Gk. ἔχω ‘have, hold’) [180:495]. The Brittonic material appears to"
*seǵʰ-.,1,25,require an onset *saǵʰ- while the Greek requires *seǵʰ-. Pokorny offers a now-obsolete PIE
*seʔ-men-,1,26,"OPru. semen ‘seed’ < PB *seʔ-men-; OCS sěmę n. ‘seed’ < PSl. *seˇmę; OS, OHG sāmo m."
*seˇmę,1,26,"OPru. semen ‘seed’ < PB *seʔ-men-; OCS sěmę n. ‘seed’ < PSl. *seˇmę; OS, OHG sāmo m."
*sh₁-oi-,2,17,"ground)’, cf. Hitt. šai-ⁱ ‘impress, prick’ < *sh₁-oi- [125:504]. If correct, the creation of the for-"
*sh₁s-io-,1,17,alternative reconstructions *sas-i̯o- [44:880; 104:23] and *sh₁s-io- [21:57] appear to be primar-
*sirp(i)a-,1,17,"‘sickle’ [10]): Gk. ἅρπη f. ‘sickle’ < PGk. *sr̥ pā-; Latv. sirpis, sìrps m. ‘sickle’ < PB *sirp(i)a-;"
*slk-,1,28,"ToB sälk- and Gk. ἕλκω, served as the basis for a root noun *slk- ‘furrow; plow’ in Germanic"
*solk-o-,2,26,"*solk-o- (*solko-s ‘Zug’ [44:901]): Gk. ὁλκόB m. ‘hauling-engine; furrow, track; ditch, channel’"
*solko-,1,26,< *holko-; Lat. sulcus m. ‘furrow’ < PIt. *solko-
*solko-s,1,26,"*solk-o- (*solko-s ‘Zug’ [44:901]): Gk. ὁλκόB m. ‘hauling-engine; furrow, track; ditch, channel’"
*sorp-nó-,1,17,"Du. obs. zerp adj. ‘severe, sharp’ < PGm. *sarpa- (not *sarfa- [pace 44:911–2] < *sorp-nó-"
*sper-,5,26,"This formation, clearly derived from the PIE root *sper-, appears shared between Greek and"
*spor-eh₂-,2,26,"*spor-eh₂- (*sporáH₂ [19:119]): Gk. σπορά f. ‘seed’; Alb. farë f. ‘seed, sperm’ < PAlb. *farā"
*sporáH₂,1,26,"*spor-eh₂- (*sporáH₂ [19:119]): Gk. σπορά f. ‘seed’; Alb. farë f. ‘seed, sperm’ < PAlb. *farā"
*spr,1,17,"root of this formation appears to be metathesized from *spr ‘cut the hair, shave’ [159]."
*sr-niH-,1,18,"Finally, the frequently compared Skt. sr̥ṇī́-, sŕ̥ṇī- f. ‘sickle’ < *sr-niH- cannot be accepted as a"
*srp-a-,1,18,"ited from Proto-Indo-Iranian *srp-a-, but rather borrowed from Slavic [88:IV, 242; 142:8–9]."
*srp-ie-,1,17,"prune’. This root is also found in Lat. sarp(i)ō ‘cut off, trim, prune’ < *srp-ie-, apparently with"
*srp-o/eh₂-,3,17,"*srp-o/eh₂- (*serp- ‘Sichel, krummer Haken’ [44:911–2]; *sŕ̥po/ehₐ- ‘sickle’ [18:8]; *srpo/eh₂-"
*srpo/eh2-,1,3,*srpo/eh2- ‘sickle’
*srpo/eh₂-,1,17,"*srp-o/eh₂- (*serp- ‘Sichel, krummer Haken’ [44:911–2]; *sŕ̥po/ehₐ- ‘sickle’ [18:8]; *srpo/eh₂-"
*sr̥,1,17,"‘sickle’ [10]): Gk. ἅρπη f. ‘sickle’ < PGk. *sr̥ pā-; Latv. sirpis, sìrps m. ‘sickle’ < PB *sirp(i)a-;"
*suar-,1,22,"derived from the Iranian root *hvar-, cf. YAv. xvar- ‘consume, eat’ < PIIr. *suar-, which is not"
*sueh₂-reh₂-,1,22,"Witczak reconstructs (the equivalent of) *sueh₂-reh₂- ~ *suh₂-reh₂- for Baltic, but we are"
*suh₂-reh₂-,1,22,"Witczak reconstructs (the equivalent of) *sueh₂-reh₂- ~ *suh₂-reh₂- for Baltic, but we are"
*sulh-.,1,26,"an isolated root noun in Germanic, viz. OE sulh f. ‘furrow; plow’ < PGm. *sulh-. The semantic"
*swaH₂-raH,1,22,"†*su(e)h₂-ro/eh₂- (*swaH₂-raH [19:79–81]): Oss. I xor ‘grain, barley’, D xwar ‘grain, millet’;"
*sævær,1,22,"and a hypothetical Ossetic *sævær [88:III, 306]. If Yazg. šebar ‘Alpine sedge (Carex nivalis)’ is"
*sē-men-,1,26,"*seh₁-men- (*sē-men- ‘Samen’ [44:889–91]; *seh₁mn̥ [19:118]): Lith. sėmenys pl. ‘linseed’,"
*sŕ̥po/ehₐ-,1,17,"*srp-o/eh₂- (*serp- ‘Sichel, krummer Haken’ [44:911–2]; *sŕ̥po/ehₐ- ‘sickle’ [18:8]; *srpo/eh₂-"
*sǵhe´dhlā.,1,44,"Hamp EP. Indo-European *sǵhe´dhlā. In: Lubotsky A, Schaeken J, Wiedenhof J, Siebinga S, editors."
*sǵʰ-e-,1,26,departs from a *sǵʰ-e- that received a ‘prop vowel’ and independent vocalization with *e in
*sьrpъ,1,17,"SerbCS srъpъ, Ru. serp, gen. serpá, Pol. sierp, SCr. sȓ p m. ‘sickle’ < PSl. *sьrpъ"
*sᵉsyom,1,17,"*se-sh₁-io- (*sasi̯o- ‘Feldfrucht’ [44:880]; *ses(i̯)ó- ‘grain, fruit’ [18:236]; *sᵉsyā, *sᵉsyom [19:41–"
*sᵉsyā,1,17,"*se-sh₁-io- (*sasi̯o- ‘Feldfrucht’ [44:880]; *ses(i̯)ó- ‘grain, fruit’ [18:236]; *sᵉsyā, *sᵉsyom [19:41–"
*sₑǵʰ-,1,25,reconstruction whereby a reduced vowel *sₑǵʰ- was vocalized into *a in Celtic [44:889]. Hamp
*t.,1,9,quent variant ḫattar rather mandates a protoform with *t. An alternative connection has
*tarwō-,1,6,"*tarwō-; Gaul. *drāuā (>> Fr. droue ‘darnel’), Gallo-Lat. dravoca (>> Du. dravik), W"
*terwō-,1,6,"growing in grainfields’, MDu. tarwe, terwe c. ‘wheat’, Du. tarwe ‘wheat’ < PGm. *terwō- or"
*tk,1,13,"of *tk > kk [140:230]. The Germanic form, usually reconstructed as *agiþō-, can be derived"
*tānā-,1,6,"<? PTo. *tānā-; Skt. dhānā́ḥf.pl. ‘roasted grains’, Khot. dānā- ‘grain, (sesame, grape)"
*tḱkop-ero-.,1,22,"connecting the Germanic and Iranian words, through a protoform *tḱkop-ero-. If the Asian"
*uegʷʰ-,1,26,"A well-known European word, possibly derived from a root *uegʷʰ- [44:1179–80] as appar-"
*uers-,3,18,"*uers- (*u̯ers- ‘am Boden schleifen’ [44:1169–70]; *u̯ers- ‘thresh’ [18:8, 581]; *wers- ‘thresh’"
*uogwh-(m)nis-,1,30,*uogwh-(m)nis-
*uogʷʰ-(m)nis-,1,26,"*uogʷʰ-(m)nis- (*u̯ogʷhni-s, *u̯ogʷhnes- ‘Pflugschar’ [44:1179–80]): Gk. Hes. ὀφνίB ‘plow-"
*uogʷʰ-eh₂-,1,26,"ently found in Lith. vagà f. ‘groove, furrow; patch of arable land’ < *uogʷʰ-eh₂- and ON veggr,"
*uogʷʰ-io-,1,26,"OE wecg, OHG wecki ‘wedge’, Lith. vãgis, Latv. vadzis ‘peg; wedge’ < *uogʷʰ-io- [44:1179–80;"
*ut-phālayati,1,25,ʻwinnowʼ < *ut-phālayati [133:84].
*u̯,2,18,"[10]): Hitt. u̯arš-ⁱ ‘sweep, wipe; pluck, harvest’ < PAn. *u̯ a/ors-; ON vǫrr m. ‘pull of the oar’"
*u̯ers-,2,18,"*uers- (*u̯ers- ‘am Boden schleifen’ [44:1169–70]; *u̯ers- ‘thresh’ [18:8, 581]; *wers- ‘thresh’"
*u̯ogʷhnes-,1,26,"*uogʷʰ-(m)nis- (*u̯ogʷhni-s, *u̯ogʷhnes- ‘Pflugschar’ [44:1179–80]): Gk. Hes. ὀφνίB ‘plow-"
*u̯ogʷhni-s,1,26,"*uogʷʰ-(m)nis- (*u̯ogʷhni-s, *u̯ogʷhnes- ‘Pflugschar’ [44:1179–80]): Gk. Hes. ὀφνίB ‘plow-"
*varsma-,1,18,"of grain (spread out for threshing)’ < PEB *varsma-; RuCS vresti (vьrxu) ‘thresh, SCr."
*vatnas),1,27,share’ (< *vatnas) would be most easily explained as a loan from Baltic [211].
*versti,1,18,"vrijȇći (vŕšem) ‘thresh’ < PSl. *versti (vьrxǫ); RuCS vrachъ m. ‘threshing’, Ru. vóroch m."
*vizˇiā̆,1,19,"Latv. àuza f. ‘id.’ < PEB *avizˇaʔ-; OPru. wyse ‘oats’ < PWB *vizˇiā̆ -; Ru. ovës ‘id.’, SCr. òvas"
*vižiā̆-,1,19,"continue PWB *vižiā̆-, without the initial vowel that is observed in the other forms. Given"
*vorxъ,1,18,‘pile of grain’ < PSl. *vorxъ
*wagnV-,1,26,share; plow’ < PGk. *u̯ okʷʰ(s)ni(s)-; OPru. wagnis or wagins ‘coulter’ < PB *wagnV-; ON
*wagnisan-,1,26,"vangsni, OHG waganso, wagi(n)so m. ‘plowshare’ < PGm. *wagnisan-; Lat. vōmer m. ‘coul-"
*wagnisan-.,1,27,"continue *wagnisan-. OHG waganso, on the other hand, was probably influenced by alansa f."
*wain-eśta-).,1,14,"*-eśta- was added (cf. vresht m. ‘vinyard’ < PAlb. *wain-eśta-). Except for in Cypriote, a rather"
*warzu-,1,18,"< PGm. *warzu-; Lat. verrō, -ere ‘scrape, sweep, brush’ < PIt. *wers-; Latv. vā̀rsms m. ‘layer"
*wers-,3,3,*wers- ‘thresh’
*wešnä,1,20,*wešnä vs Ma. wištə < *wäšnä [cf. 174:157].
*winnowing?),1,24,"‘shake’ < *kʷh₂t-ie- [168:1155], and potentially Lat. quālus m. ‘wicker (*winnowing?) basket’,"
*woχʷ-(s)mis-(?),1,26,"ter, plowshare’ < PIt. *woχʷ-(s)mis-(?)"
*wäšnä,1,20,*wešnä vs Ma. wištə < *wäšnä [cf. 174:157].
*yewH₁,1,12,*(H)ieu(H)- (*i̯eu̯o- [44:512]; *i̯éu̯os ~ *i̯éu̯om ‘grain (particularly barley?)’ [18:236]; *yewH₁
*ye´wos,1,3,"*ye´wos ‘±grain,? barley,? wheat’"
*yéwos,1,12,"[19:43–4, 54]; *yéwos ‘± grain,? barley,? wheat’ [10]): Hitt. ewa(n)- n. ‘type of grain; por-"
*yəp-,1,12,tive?) formation *(H)ieu(H)-ieh₂-. The previously included ToB yap < PTo. *yəp- [18:236;
*zobъ,1,22,"conspicuously close to Hung. zab ‘oats’, itself a borrowing from Sl. *zobъ [194:159]. It there-"
*zˇirʔni(o)-,1,7,"PIIr. *j́rH-na(-ka)-(?); Lith. žìrnis, Latv. zir̃nis m. ‘pea’, OPru. syrne ‘grain’ < PB *zˇirʔni(o)-"
*zˇьrny,1,8,*zˇьrny
*zьrno,1,7,"; OCS zrъno, Ru. zernó, SCr. zȑno n. ‘grain’ < *zьrno; Go. kaurn n. ‘grain, seed, wheat’ <"
*æ,1,26,"tonic sound law PC *e > (*æ >) PBr. *a before *ge, *gi [51:134–41]."
*ā,2,14,"*ā is more attractive. A variant with *a does seem to be present in MP sbz, spz, NP sabz ‘green,"
*ādu-,2,9,"nate *ādu-, potentially found in the month name ādukainaiša, further appears to have been"
*ādu-.,1,40,Hamp EP. Once again Iranian *ādu-. Transactions of the Philological Society. 1973; 72:137.
*ālu-,1,3,*ālu- ‘esculent root’
*ātakā-,2,13,"row’ <? PIr. *ātakā-; Lith. akė́čios, dial. ekė́čios f.pl. ‘harrow’, Latv. ecê(k)šas f.pl. ‘harrow’,"
*ātəyā-,1,9,"therefore been proposed with ToA āti, ToB ātiyo* n. ‘grass’ < PTo. *ātəyā- < *h₂et-u-ieh₂-,"
*ă,2,14,"*ă in open syllables yields Psht. a or Ø depending on the accent [146:176], a reconstruction with"
*ć,1,22,"view of Khot. ṣavara- ‘a green plant’, whose ṣcannot reflect PIIr. *ć [104:283]. Neither of these"
*ć(sˇ)ā̆,1,22,"zabar ‘avena’ <? PIIr. *ć(sˇ)ā̆ para-; ON hafri, OS haƀoro, OHG habaro, haparo m. ‘oats’ <"
*ćapa-,1,14,"der grass’ [81:73]. This form has previously been derived from *ćapa- [104:283], but since PIr."
*ćapaka-,1,14,ated to a formation *ćapaka- for which Bact. σαβαγο ‘crop’ < *ćā̆pā̆kā̆- may be compared
*ćapara-,1,22,"fore is an exceptionally small basis for postulating a Proto-Indo-Iranian protoform *ćapara-,"
*ćapači(H)a-,1,14,"fresh’. This adjective has been interpreted as continuing *ćapačya- or *ćapači(H)a-, possibly cre-"
*ćapačya-,1,14,"fresh’. This adjective has been interpreted as continuing *ćapačya- or *ćapači(H)a-, possibly cre-"
*ćapačī-,1,14,"sian derivation sabzī ‘greenness, verdure, vegetable’, started out as a noun, continuing *ćapačī-"
*ćiā̆parā̆-,1,22,"related, we must instead reconstruct PIIr. *ćiā̆parā̆- [195:301], or perhaps rather *ćšāpara- in"
*ćāpa-,3,14,"sēpc ‘cultivated field’ < PIIr. *ćāpa-; Gk. κῆποB, Dor. κᾶποB m. ‘plot of land, garden, plan-"
*ćā̆pā̆kā̆-,1,14,ated to a formation *ćapaka- for which Bact. σαβαγο ‘crop’ < *ćā̆pā̆kā̆- may be compared
*ćšāpara-,1,22,"related, we must instead reconstruct PIIr. *ćiā̆parā̆- [195:301], or perhaps rather *ćšāpara- in"
*čar(H)as-,1,14,form *čar(H)as- rather than *kar(H)as-.
*ž,1,15,"*miǵʰ-so- [93:129]. Unfortunately, the implied cluster *-ǵʰs- > PIr. *j́ʰž > *ž does not regularly"
*ž.,1,15,"nian language in which *j́(ʰ)i̯ > *ž. In conclusion, this etymology is plagued by many formal"
*ǰ.,1,8,"[78:47] cannot be maintained, since ʒ can only go back to PIIr. *ǰ."
*ǵerH-,3,8,"Etymologically, *ǵrH-no- can be derived from the root *ǵerH- ‘crumble, scatter’. Tradition-"
*ǵerH-n-on-.,1,8,"m. ‘core, kernel’ < PGm. *kernan- < *ǵerH-n-on-. Finally, a verbal attestation can be seen in"
*ǵerh₂-,2,8,"ally, this root has been equated with *ǵerh₂- ‘age, mature’, cf. Skt. járⁱ ‘age’, OCS zьrěti ‘ripen’,"
*ǵhel-,1,7,?*g´ʰolH-o- (*^ghel- 2 ‘schneiden’?? [44:434];? *ǵhel- ‘plow’ [18:435]; *gʰel- ‘plough’ [10])
*ǵhelH-,1,29,*ǵhelH-
*ǵhersd-,1,29,*ǵhersd-
*ǵhresdhi-,1,3,*ǵhresdhi- ‘± grain’
*ǵhreud-,1,29,*ǵhreud-
*ǵi̯,1,15,"larly reflect *ǵʰs or *ǵi̯, it can only be maintained as a loan from unattested Sogd. *myjwk(h)"
*ǵrH-no-,9,7,"*ǵrH-no- (*^gr̥-nóm [44:390–1]; *^grhₐnóm ‘grain’ [18:236]; *^gr̥Hnóm [19:43, 116–7]; *^grhₐnóm"
*ǵrH-ro-,1,8,"*glāro- < *ǵrH-ro- ‘grainy’ [83:I, 605–6]. More straightforward cognates exist in Celtic and"
*ǵrH-u-no-,1,19,cize. The alternative derivation from *ǵrH-u-no- [69:278–9] finds no support outside
*ǵrH-ueh₂-,1,8,"grève f. ‘riverbank, shore’, Cat. grava f. ‘gravel’) < *ǵrH-ueh₂- [84] and ON kjarni, OHG kerno"
*ǵrhano´m,1,3,"*ǵrhano´m ‘± grain,? barley’"
*ǵʰ(e)rs(d)-,1,7,"*ǵʰ(e)rs(d)- (*^gherzd(h), Gen. *^ghr̥zd(h)-es; ^gherzdā [44:446]; *^gʰresdʰ(i), gen. *^gʰrsdʰós ‘bar-"
*ǵʰ(e)rsd-.,1,31,must at least admit the cereal term *(H)ieu(H)- and perhaps *ǵʰ(e)rsd-. For the core Indo-
*ǵʰel-,1,7,"On the basis of Skt. hala- ‘plow’ and Arm. jlem ‘make furrows’, a verbal root *ǵʰel- ‘plow’"
*ǵʰersd-,1,7,"An element *ǵʰersd- (not *ǵʰersdʰ-) is supported by Italic and Germanic, as well as poten-"
*ǵʰersd-.,2,27,"revision. We have, for instance, modified *ǵʰersdʰ- to *ǵʰersd-. This is the least problematic"
*ǵʰersd-eh₂-,1,7,from a neuter root noun. The Germanic formation implies a preform *ǵʰersd-eh₂- resembling
*ǵʰersdʰ-,1,27,"revision. We have, for instance, modified *ǵʰersdʰ- to *ǵʰersd-. This is the least problematic"
*ǵʰersdʰ-),1,7,"An element *ǵʰersd- (not *ǵʰersdʰ-) is supported by Italic and Germanic, as well as poten-"
*ǵʰolH-o-,1,7,"*ǵʰōl- [61:435]. Even if the reconstruction of a term *ǵʰolH-o- is justified, the involved seman-"
*ǵʰolH-o-.,1,7,"and Arm. joł ‘stick’, i.e. by assuming a potentially shared and inherited o-stem *ǵʰolH-o-. The"
*ǵʰreud-,2,18,"*ǵʰreud- ‘crush’. Within Germanic, the parallel OHG gruzzi n. ‘grits’, G Grütze f.pl. ‘groats’,"
*ǵʰrsd,1,7,"lated to Italic and doubtlessly late. Alb. drithë may continue a paradigm *ǵʰrsd, pl. *ǵʰrsd-eh₂."
*ǵʰrsd-eh₂-.,1,7,"*drisdā < *ǵʰrsd-eh₂-. Alternatively, we can assume that *sd and *sdʰ both became dh, but that"
*ǵʰrsd-eh₂.,1,7,"lated to Italic and doubtlessly late. Alb. drithë may continue a paradigm *ǵʰrsd, pl. *ǵʰrsd-eh₂."
*ǵʰrud-(i)neh₂-,1,19,"if from *ǵʰrud-(i)neh₂- [20], cannot be accepted, as a nasal resulting from *-dn- does not rhota-"
*ǵʰr̥sd-,1,7,"Regarding the Albanian form, one obstacle to deriving drithë from *ǵʰr̥sd- is that palatove-"
*ǵʰs,1,15,"larly reflect *ǵʰs or *ǵi̯, it can only be maintained as a loan from unattested Sogd. *myjwk(h)"
*ǵʰēl-,1,7,"hapax Arm. jlem ‘furrow’, if reliable, would rather presuppose an ablauting variant *ǵʰēl- or"
*ǵʰōl-,1,7,"*ǵʰōl- [61:435]. Even if the reconstruction of a term *ǵʰolH-o- is justified, the involved seman-"
*ȏ,1,11,*ȏ stь
*χalđiz,1,42,"tischen *-i(a)-Adjektive und zur Etymologie von fi. kallis ‘teuer; lieb’, urgerm. *χalđiz ‘eher; lieber’ und"
*χord-ejo-,1,7,sta f. ‘barley’ < PGm. *gerstō-; Lat. hordeum n. ‘barley’ < PIt. *χord-ejo-
*ϑakri-(?),1,20,*kork-o- [17:594]. The occasionally adduced Alb. thekër f. ‘rye’ < PAlb. *ϑakri-(?) is almost
*ϕolkā,1,25,field’  Gaul. *olca < PC *ϕolkā
*ϕrikā,1,25,"Gaul. rica, W rhych f. ‘furrow’ < PC *ϕrikā"
*ḥaraš-,1,12,"potentially comes from Hitt. ḫārš-ⁱ ‘till (the soil)’, which, if not a loan from WSem. *ḥaraš-"
*ḫall-,1,23,"-anna/i- to the etymologically obscure root *ḫall- < *h₂(e)lH- or *h₃(e)lH- [75:271]. If related,"
*ḱker(H)-s-,1,14,"The comparison can be partially saved by reconstructing *ḱker(H)-s- (or *kers- [19:82]), a"
*ḱkerH-,2,14,"then be an s-stem created to the PIE root *ḱkerH- ‘feed’, cf. Gk. κορέννυμι ‘satiate, fill’ <"
*ḱkerH-es-,1,14,"*ḱkorh₁-(?), Lat. Cerēs, -eris f. ‘goddess of grain and fruits’ < *ḱkerH-es-, Lith. šérti ‘feed"
*ḱkerH-o(s)-,1,15,"(animals)’ < *ḱkerH-, Alb. thjer m. ‘acorn’ < *ḱkerH-o(s)- [18:248–9]. However, Hitt. karaš has"
*ḱkop-o-,1,14,"with Skt. śāpa- ‘flotsam’ and Lith. šãpas m. ‘straw’, pl. ‘flotsam’ < *ḱkop-o- [77:II, 629; 144]."
*ḱkop-ro-,2,21,"forms with PGm. *hab(e/a)ran- and Jass. zabar, by metathesis from *ḱkop-ro- [19:81], is for-"
*ḱkorh₁-(?),1,14,"*ḱkorh₁-(?), Lat. Cerēs, -eris f. ‘goddess of grain and fruits’ < *ḱkerH-es-, Lith. šérti ‘feed"
*ḱop-r-,1,22,?*tḱop-ero- (*^k(ó)pr̥ ‘oats’ [19:58; 193]):? Hitt. kappar- ‘greens(?)’ <? PAn. *ḱop-r-;? Jassic
?*bʰar-(e)s-,1,5,"?*bʰar-(e)s- (*bhares- [44:111]; *bʰárs, gen. *bʰarés(o)s? ‘barley’ [18:51]; *bhars- [19:57]; *bʰars"
?*gweu-os-,1,29,?*gweu-os-
?*g´ʰolH-o-,1,7,?*g´ʰolH-o- (*^ghel- 2 ‘schneiden’?? [44:434];? *ǵhel- ‘plow’ [18:435]; *gʰel- ‘plough’ [10])
?*g´ʰrud-o-,1,18,"?*g´ʰrud-o- (*ghrū̆dom [19:119]): Lith. grū́das, Latv. grûds m. ‘grain’ < PB *gruʔda-; OE grotan"
?*gʷ(e)u-s-o-,1,23,"?*gʷ(e)u-s-o- (*gēu-, gəu-, gū- [44:393–8]): Lat. būris, būra f. ‘plow pole’ ? Sab. < PIt."
?*h2eḱk-ti-,1,29,?*h2eḱk-ti-
?*h₂/₃elg´(ʰ)-,1,19,?*h₂/₃elg´(ʰ)- (?*h₂/₃elǵ(h)- ‘grain or millet?’ [18:237];? *h₂/₃elǵ(h)- [135:164]): Hitt. ḫalki- c.
?*h₂/₃elǵ(h)-,1,19,?*h₂/₃elg´(ʰ)- (?*h₂/₃elǵ(h)- ‘grain or millet?’ [18:237];? *h₂/₃elǵ(h)- [135:164]): Hitt. ḫalki- c.
?*h₂ed-o(s)-,1,9,"?*h₂ed-o(s)- (*ades-, *ados- [44:3]; *h₂ed- ‘grain, barley’ [18:273]; *H₂adHor [19:101–3, 117–"
?*h₂eḱ-ti-,1,11,"?*h₂eḱ-ti- (*a^ksti- [44:18–22]; *hₐe^kstí- ‘awn, bristle’ [18:237]; *h₂e^kstí- ‘ear’ [10]):? ToB āśce f."
?*kok-ro-,1,20,?*kok-ro- ~ *kork-io- (*korkri̯o- [44:529]): OGutn. hagri m. ‘oats’ < PGm.? *hagran-; OIr.
?*kwels-,1,29,?*kwels-
?*kʷeh₂t-i-,1,24,"?*kʷeh₂t-i- (?*kʷet- [18:104]):? Gk. Hes. πήτεα ‘bran’; OIr. cáith f. ‘chaff, husks’ < PC *k(ʷ)āti-"
?*kʷels-,1,20,"?*kʷels- (*kʷel-1, *kʷelə- [44:639–40]):? Hitt. gulš-zⁱ ‘carve, engrave’; Skt. karṣ‘pull, drag;"
?*kʷet-,1,24,"?*kʷeh₂t-i- (?*kʷet- [18:104]):? Gk. Hes. πήτεα ‘bran’; OIr. cáith f. ‘chaff, husks’ < PC *k(ʷ)āti-"
?*meig´ʰ-,1,15,"?*meig´ʰ- (*mei^g(h)- ‘barley’ [18:51]; *mei^gʰ- ‘± grain’) [10]: Khot. mäṣṣa-, miṣṣa- ‘field for"
?*ne(h₁)i-uo-,1,24,"?*ne(h₁)i-uo- (*nei-u̯o- [44:311–4; 79:8]): Gk. νειόB f. ‘fallow land’; OCS n’iva, Ru. níva, SCr."
?*perḱk-,1,29,?*perḱk-
?*pro^kom,1,21,†*proḱ-so- (?*pro^kom [19:81]): ToB proksa pl. ‘?’; OPru. prassan ‘millet’ < PWB *pra(ś)a- (if
?*tḱop-ero-,1,22,?*tḱop-ero- (*^k(ó)pr̥ ‘oats’ [19:58; 193]):? Hitt. kappar- ‘greens(?)’ <? PAn. *ḱop-r-;? Jassic
†*h₂eui(ḱ/g´ʰ)s-,1,19,"†*h₂eui(ḱ/g´ʰ)s- (*au̯i^g- ‘Grasart, Hafer’ [44:88]; *hₐeu̯isos [18:7, 409]; *H₂awi^g-i- [19:66];"
†*keres-,1,14,"†*keres- (*^ker-2, ^kerə-, ^krē- [44:577]; *kers [19:82]; *keres- ‘millet’ [10]): Hitt. karaš n. ‘wheat,"
†*mel(H)-i-,1,24,"†*mel(H)-i- (*mél-i-, -n-és [44:718];? *melh₂- [18:383]; *melH-i [19:77]): Lat. milium n. ‘millet’"
†*pano-,1,15,"†*pano- (*pank-, *pang- ‘Bu¨schel der Hirse’ [44:789];? *pano- ~ *paniko/ehₐ- ‘millet’ [18:383];"
†*pano-).,1,11,"cum ‘millet’ from Lat. pānus ‘tuft, ear (of millet)’ (see †*pano-)."
†*proḱ-so-,1,21,†*proḱ-so- (?*pro^kom [19:81]): ToB proksa pl. ‘?’; OPru. prassan ‘millet’ < PWB *pra(ś)a- (if
†*su(e)h₂-ro/eh₂-,1,22,"†*su(e)h₂-ro/eh₂- (*swaH₂-raH [19:79–81]): Oss. I xor ‘grain, barley’, D xwar ‘grain, millet’;"
†*tḱor-iano-,1,23,†*tḱor-iano- (*^kþoryanos [19:99–100]): Arm. cᶜorean ‘wheat’; OIr. tuirenn f. ‘wheat’
└›*h2ed-o(s)-,1,29,└›*h2ed-o(s)-
└›*h2erh3-tro-,1,29,└›*h2erh3-tro-
└›*h2erh3-ur/n-,1,29,└›*h2erh3-ur/n-
